KBN,parent_id,marriage_number,relationship_number,adopted,adopted_day
3411111,341111,1,1,,
3411112,341111,1,1,,
341112,34111,1,1,,
3411121,341112,1,1,,
3411122,341112,1,1,,
3411123,341112,1,1,,
34112,3411,1,1,,
341121,34112,1,1,Case 1,0
3411211,341121,1,1,,
3411212,341121,1,1,,
341122,34112,1,1,"Case 1",0
3411221,341122,1,1,,
34113,3411,1,1,,
341131,34113,1,1,,
341132,34113,1,1,,
34114,3411,1,1,,
34115,3411,1,1,,
341151,34115,2,2,,
341152,34115,2,2,,
341153,34115,2,2,,
3412,341,1,1,,
34121,3412,1,1,,
341211,34121,1,1,,
341212,34121,1,1,,
341213,34121,1,1,,
3412131,341213,1,1,,
34122,3412,1,1,,
341221,34122,1,1,,
3412211,341221,1,1,,
3412212,341221,1,1,,
341222,34122,1,1,,
3412221,341222,1,1,,
341223,34122,1,1,,
34123,3412,1,1,,
341231,34123,1,1,,
341232,34123,1,1,,
341321,34132,1,1,,
341233,34123,1,1,,
3413,341,1,1,,
34131,3413,1,1,,
34132,3413,1,1,,
341322,34132,1,1,,
3413221,341322,1,1,,
3413222,341322,1,1,,
341323,34132,2,2,,
34133,3413,1,1,,
341332,34133,1,1,,
341331,34133,1,1,,
3414,341,1,1,,
3415,341,1,1,,
34151,3415,1,1,,
341511,34151,1,1,,
3415111,341511,1,1,,
341512,34151,1,1,,
3415121,341512,1,1,,
34152,3415,1,1,,
34153,3415,1,1,,
34154,3415,1,1,,
341541,34154,1,1,,
341542,34154,1,1,,
3416,341,1,1,,
34161,3416,1,1,,
341621,34162,1,1,,
34162,3416,1,1,,
341622,34162,1,1,,
341623,34162,1,1,,
34163,3416,1,1,,
341631,34163,1,1,,
341632,34163,1,1,,
341633,34163,1,1,,
3417,341,1,1,,
34171,3417,1,1,,
341711,34171,1,1,,
34172,3417,1,1,,
3418,341,1,1,,
34181,3418,1,1,,
341811,34181,1,1,,
341812,34181,1,1,,
34182,3418,1,1,,
341821,34182,1,1,,
341822,34182,1,1,,
34183,3418,1,1,,
341831,34183,1,1,,
341832,34183,1,1,,
342,34,1,1,,
3421,342,1,1,,
34211,3421,1,1,,
342111,34211,1,1,,
3421111,342111,1,1,,0
34211111,3421111,1,1,,
342112,34211,1,1,,
34212,3421,1,1,,
3422,342,1,1,,
34221,3422,1,1,,
342211,34221,1,1,,
3422111,342211,1,1,,
3422112,342211,1,1,,
342212,34221,1,1,,
3422121,342212,1,1,,
3422122,342212,1,1,,
34222,3422,1,1,,
3423,342,1,1,,
343,34,1,1,,
3431,343,1,1,,
34311,3431,1,1,,
343111,34311,0,1,,
343112,34311,1,2,,
344,34,1,1,,
3441,344,1,1,,
3442,344,1,1,,
34421,3442,1,1,,
34422,3442,1,1,,
