KBN,parent_id,marriage_number,relationship_number,adopted,adopted_day
"165532","16553","","1","",""
"1656","165","1","1","",""
"16561","1656","1","1","",""
"165611","16561","","1","",""
"165612","16561","","1","",""
"165613","16561","","1","",""
"16562","1656","1","1","",""
"165621","16562","","1","",""
"166","16","1","1","",""
"1661","166","2","1","",""
"167","16","1","1","",""
"1671","167","1","1","",""
"16711","1671","1","1","",""
"167111","16711","1","1","",""
"1671111","167111","","1","",""
"1671112","167111","","1","",""
"1671113","167111","","1","",""
"167112","16711","1","1","",""
"1671121","167112","","1","",""
"1671122","167112","","1","",""
"1671123","167112","","1","",""
"16712","1671","2","1","",""
"167121","16712","1","1","",""
"1671211","167121","","1","",""
"1671212","167121","","1","",""
"167122","16712","1","1","",""
"1671221","167122","","1","",""
"16713","1671","1","1","",""
"167131","16713","","1","",""
"16714","1671","1","1","",""
"167141","16714","1","1","",""
"1671411","167141","","1","",""
"1671412","167141","","1","",""
"167142","16714","1","1","",""
"1671421","167142","","1","",""
"1671422","167142","","1","",""
"16715","1671","1","1","",""
"167151","16715","","1","",""
"167152","16715","","1","",""
"16716","1671","1","1","",""
"167161","16716","1","1","",""
"1671611","167161","","1","",""
"167162","16716","1","1","",""
"1671621","167162","","1","",""
"1671622","167162","","1","",""
"167163","16716","","1","",""
"16717","1671","1","1","",""
"167171","16717","","1","",""
"167172","16717","","1","",""
"16718","1671","1","1","",""
"167181","16718","","1","",""
"167182","16718","","1","",""
"167183","16718","","1","",""
"1672","167","2","1","",""
"168","16","1","1","",""
"169","16","1","1","",""
"16A","16","1","1","",""
"16A1","16A","1","1","",""
"16A11","16A1","1","1","",""
"16A111","16A11","1","1","",""
"16A1111","16A111","","1","",""
"16A1112","16A111","","1","",""
"16A112","16A11","","1","",""
"16A12","16A1","","1","",""
"16A13","16A1","1","1","",""
"16A14","16A1","2","1","",""
"16A141","16A14","2","2","",""
"16A1411","16A141","","1","",""
"16A142","16A14","1","2","",""
"16A1421","16A142","","1","",""
"16A1422","16A142","","2","",""
"16A1423","16A142","","2","",""
"16A143","16A14","","2","",""
"16A144","16A14","","2","",""
"16A1441","16A144","","1","",""
"16A1442","16A144","","1","",""
"16A2","16A","1","1","",""
"16A21","16A2","1","1","",""
"16A211","16A21","","1","",""
"16A22","16A2","0","1","",""
"16A221","16A22","","1","",""
"16B","16","1","1","",""
"16B1","16B","1","1","",""
"16B11","16B1","2","1","",""
"16B111","16B11","1","1","",""
"16B112","16B11","","2","",""
"16B113","16B11","","2","",""
"16B12","16B1","2","1","",""
"16B121","16B12","","1","",""
"16B1211","16B121","","1","",""
"16B122","16B12","","1","",""
"16B123","16B12","","1","",""
"16B13","16B1","1","1","",""
"16B131","16B13","1","1","",""
"16B132","16B13","1","1","",""
"16B1321","16B132","","1","",""
"16B133","16B13","","2","",""
"16B2","16B","2","1","",""
"16B21","16B2","","1","",""
"16B22","16B2","1","1","",""
"16B221","16B22","","1","B1","date unknown"
"17","1","0","1","",""
"18","1","1","1","",""
"181","18","1","1","",""
"1811","181","2","1","",""
"18111","1811","","1","",""
"18112","1811","","1","",""
"1812","181","1","1","",""
"18121","1812","3","1","",""
"181211","18121","","1","",""
"181212","18121","","3","A3","December 21, 2001"
"18122","1812","2","1","",""
"181221","18122","","1","",""
"1813","181","1","1","",""
"18131","1813","2","1","",""
"181311","18131","","1","",""
"181312","18131","","2","",""
"182","18","1","1","",""
"1821","182","1","1","",""
"18211","1821","1","1","",""
"182111","18211","","1","",""
"18212","1821","","1","",""
"19","1","","1","",""
"2","","1","1","",""
"21","2","1","1","",""
"211","21","","1","",""
"212","21","1","1","",""
"2121","212","","1","",""
"213","21","0","1","",""
"214","21","","1","",""
"215","21","1","1","",""
"2151","215","","1","",""
"2152","215","1","1","",""
"21521","2152","1","1","",""
"215211","21521","","1","",""
"2153","215","1","1","",""
"21531","2153","1","1","",""
"215311","21531","","1","",""
"216","21","1","1","",""
"2161","216","2","1","",""
"21611","2161","2","1","",""
"216111","21611","1","1","",""
"2161111","216111","1","1","",""
"21611111","2161111","","1","",""
"21611112","2161111","","1","",""
"21611113","2161111","","1","",""
"21611114","2161111","","2","",""
"216112","21611","2","1","",""
"2161121","216112","1","1","",""
"21611211","2161121","","1","",""
"21611212","2161121","","1","",""
"21611213","2161121","","1","",""
"2161122","216112","1","1","",""
"21611221","2161122","","1","",""
"2161123","216112","","2","",""
"21612","2161","1","1","",""
"216121","21612","","1","",""
"216122","21612","0","1","",""
"2161221","216122","","1","",""
"21613","2161","1","1","",""
"216131","21613","","1","",""
"216132","21613","","1","",""
"2161321","216132","","1","",""
"21614","2161","1","1","",""
"216141","21614","0","1","",""
"2161411","216141","","1","",""
"216142","21614","1","1","",""
"2161421","216142","","1","",""
"2161422","216142","","1","",""
"21615","2161","2","1","",""
"216151","21615","1","1","",""
"2161511","216151","","1","",""
"2161512","216151","","1","",""
"216152","21615","0","1","",""
"2161521","216152","","1","",""
"21616","2161","1","1","",""
"216161","21616","1","1","",""
"2161611","216161","","1","",""
"2161612","216161","","1","",""
"216162","21616","1","1","",""
"2161621","216162","","1","",""
"2161622","216162","","1","",""
"2161623","216162","","1","",""
"2161624","216162","","1","",""
"217","21","","1","",""
"218","21","","1","",""
"3","","2","2","",""
"31","3","1","1","",""
"311","31","1","1","",""
"3111","311","1","1","",""
"31111","3111","","","",""
"31112","3111","","","",""
"3112","311","2","2","",""
"31121","3112","1","1","",""
"31122","3112","","1","",""
"31123","3112","1","2","",""
"311231","31123","","1","",""
"311232","31123","","1","",""
"312","31","","1","",""
"313","31","2","1","",""
"3131","313","1","1","",""
"31311","3131","1","1","",""
"313111","31311","","1","",""
"31312","3131","","1","",""
"31313","3131","1","1","",""
"313131","31313","2","1","",""
"3131311","313131","","1","",""
"3131312","313131","","1","A1","May 2003"
"313132","31313","0","1","",""
"3131321","313132","","1","",""
"313133","31313","1","1","",""
"3131331","313133","","1","",""
"3132","313","0","1","",""
"3133","313","1","1","",""
"31331","3133","1","1","",""
"313311","31331","1","1","",""
"3133111","313311","1","1","",""
"3133112","313311","1","1","",""
"3133113","313311","","1","",""
"313312","31331","1","1","",""
"3133121","313312","","1","",""
"3133122","313312","","1","",""
"313313","31331","1","1","",""
"3133131","313313","","1","",""
"3133132","313313","","1","",""
"31332","3133","1","1","",""
"313321","31332","1","1","",""
"3133211","313321","","1","",""
"3133212","313321","","1","",""
"313322","31332","1","1","",""
"3133221","313322","","1","",""
"3133222","313322","","1","",""
"3133223","313322","","1","",""
"3133224","313322","","1","",""
"313323","31332","1","1","",""
"3133231","313323","","1","",""
"3133232","313323","","1","",""
"31333","3133","0","1","",""
"31334","3133","1","1","",""
"313341","31334","1","1","",""
"3133411","313341","","1","",""
"31335","3133","","1","",""
"3134","313","","2","",""
"3135","313","1","2","",""
"31351","3135","1","1","",""
"313511","31351","","1","",""
"31352","3135","0","1","",""
"31353","3135","1","1","",""
"313531","31353","","1","",""
"32","3","1","2","",""
"321","32","1","1","",""
"3211","321","1","1","",""
"3212","321","1","1","",""
"32121","3212","1","1","",""
"321211","32121","","1","",""
"321212","32121","1","1","",""
"321213","32121","1","1","",""
"3212131","321213","","1","",""
"321214","32121","1","1","",""
"3212141","321214","","1","",""
"3213","321","1","1","",""
"32131","3213","1","1","",""
"321311","32131","","1","",""
"32132","3213","1","1","",""
"321321","32132","","1","",""
"321322","32132","","1","",""
"3214","321","1","1","",""
"32141","3214","1","1","",""
"321411","32141","1","1","",""
"3214111","321411","","1","",""
"322","32","2","1","",""
"3221","322","","2","",""
"323","32","1","1","",""
"3231","323","","1","",""
"3232","323","1","1","",""
"32321","3232","1","1","",""
"323211","32321","2","1","",""
"3232111","323211","1","1","",""
"32321111","3232111","","1","",""
"3232112","323211","1","1","",""
"32321121","3232112","","1","",""
"323212","32321","1","1","",""
"3232121","323212","","1","",""
"3232122","323212","","1","",""
"3232123","323212","","1","",""
"32322","3232","1","1","",""
"323221","32322","1","1","",""
"323222","32322","1","1","",""
"323223","32322","1","1","",""
"32323","3232","2","1","",""
"323231","32323","","2","",""
"323232","32323","","2","",""
"323233","32323","","2","",""
"3233","323","1","1","",""
"32331","3233","2","1","",""
"323311","32331","","1","",""
"323312","32331","","2","",""
"32332","3233","1","1","",""
"32333","3233","1","1","",""
"323331","32333","1","1","",""
"3233311","323331","","1","",""
"323332","32333","","1","",""
"324","32","1","1","",""
"3241","324","","1","",""
"325","32","1","1","",""
"3251","325","2","1","",""
"32511","3251","1","1","",""
"325111","32511","","1","",""
"32512","3251","2","2","",""
"325121","32512","","1","",""
"325122","32512","","1","",""
"32513","3251","1","2","",""
"325131","32513","","1","",""
"3252","325","1","1","",""
"32521","3252","1","1","",""
"325211","32521","","1","",""
"325212","32521","","1","",""
"32522","3252","2","1","",""
"325221","32522","2","1","",""
"3252211","325221","","1","",""
"325222","32522","2","1","",""
"3252221","325222","","1","",""
"32522211","3252221","","1","",""
"32523","3252","4","1","",""
"3253","325","1","1","",""
"32531","3253","1","1","",""
"325311","32531","","1","",""
"325312","32531","","1","",""
"32532","3253","1","1","",""
"325321","32532","","1","",""
"325322","32532","","1","",""
"3254","325","1","1","",""
"32541","3254","1","1","",""
"325411","32541","1","1","",""
"3254111","325411","","1","",""
"3254112","325411","","1","",""
"326","32","1","1","",""
"3261","326","","1","",""
"3262","326","","1","",""
"3263","326","1","1","",""
"3264","326","1","1","",""
"32641","3264","1","1","",""
"326411","32641","1","1","",""
"3264111","326411","","1","",""
"3264112","326411","","1","",""
"326412","32641","1","1","",""
"32642","3264","1","1","",""
"326421","32642","1","1","",""
"3264211","326421","","1","",""
"3264212","326421","","1","",""
"326422","32642","1","1","",""
"32643","3264","1","1","",""
"326431","32643","","1","",""
"326432","32643","","1","",""
"327","32","1","1","",""
"328","32","1","1","",""
"3281","328","1","1","",""
"329","32","1","1","",""
"32A","32","1","1","",""
"32A1","32A","3","1","",""
"32A11","32A1","1","1","",""
"32A111","32A11","","1","",""
"32A112","32A11","1","1","",""
"32A1121","32A112","","1","",""
"32A1122","32A112","","1","",""
"32A2","32A","","1","",""
"33","3","2","2","",""
"331","33","1","1","",""
"3311","331","","1","",""
"3312","331","2","1","",""
"3313","331","","1","",""
"3314","331","","1","",""
"3315","331","","1","",""
"3316","331","1","1","",""
"33161","3316","","1","",""
"33162","3316","2","1","",""
"331621","33162","","1","",""
"331622","33162","1","1","",""
"331623","33162","1","1","",""
"331624","33162","1","1","",""
"3316241","331624","","1","",""
"3316242","331624","","1","",""
"33163","3316","1","1","",""
"331631","33163","2","1","",""
"3316311","331631","","1","",""
"3316312","331631","","1","",""
"3316313","331631","","2","",""
"331632","33163","1","1","",""
"3316321","331632","","1","",""
"3316322","331632","","1","",""
"3316323","331632","","2","",""
"3316324","331632","","2","",""
"3317","331","","1","",""
"3318","331","1","1","",""
"3319","331","2","1","",""
"33191","3319","2","2","",""
"331A","331","","1","",""
"331B","331","","1","",""
"332","33","1","1","",""
"3321","332","4","1","",""
"33211","3321","2","1","",""
"332111","33211","","1","",""
"332112","33211","1","1","",""
"332113","33211","","1","",""
"332114","33211","1","2","",""
"3321141","332114","","1","",""
"33212","3321","2","1","",""
"332121","33212","","1","",""
"332122","33212","","1","",""
"3322","332","4","1","",""
"33221","3322","1","1","",""
"332211","33221","1","1","",""
"332212","33221","","1","",""
"33222","3322","2","1","",""
"332221","33222","","1","",""
"332222","33222","","1","",""
"332223","33222","","2","",""
"332224","33222","","2","",""
"332225","33222","","2","",""
"333","33","1","1","",""
"3331","333","1","1","",""
"33311","3331","1","1","",""
"333111","33311","1","1","",""
"3331111","333111","","1","",""
"333112","33311","1","1","",""
"3331121","333112","1","1","",""
"33311211","3331121","","1","",""
"333113","33311","1","1","",""
"3331131","333113","","1","",""
"3331132","333113","","1","",""
"3331133","333113","","1","",""
"33312","3331","1","1","",""
"333121","33312","1","1","",""
"3331211","333121","","1","",""
"3331212","333121","","1","",""
"3331213","333121","","1","",""
"333122","33312","1","1","",""
"3331221","333122","1","1","",""
"3331222","333122","","1","",""
"333123","33312","1","1","",""
"3331231","333123","","1","",""
"3331232","333123","","1","",""
"33313","3331","2","1","",""
"333131","33313","","1","",""
"333132","33313","1","1","",""
"3331321","333132","1","1","",""
"3331322","333132","","1","",""
"333133","33313","1","1","",""
"3331331","333133","","1","",""
"333134","33313","1","1","",""
"3331341","333134","","1","",""
"3331342","333134","","1","",""
"3331343","333134","","1","",""
"333135","33313","2","2","",""
"3331351","333135","","2","",""
"3331352","333135","","2","",""
"3332","333","2","1","",""
"33321","3332","","2","",""
"3333","333","1","1","",""
"33331","3333","1","1","",""
"333311","33331","1","1","",""
"3333111","333311","","1","",""
"333312","33331","","1","",""
"333313","33331","","1","",""
"3334","333","2","1","",""
"33341","3334","1","1","C2",""
"333411","33341","1","1","",""
"33342","3334","1","2","",""
"334","33","1","1","",""
"335","33","","1","",""
"336","33","","1","",""
"34","3","1","2","",""
"341","34","1","1","",""
"3411","341","1","1","",""
"34111","3411","2","1","",""
"341111","34111","2","1","",""
"3411111","341111","","1","",""
"3411112","341111","","1","",""
"3411113","341111","","2","",""
"341112","34111","1","1","",""
"3411121","341112","","1","",""
"3411122","341112","","1","",""
"3411123","341112","","1","",""
"34112","3411","1","1","",""
"341121","34112","2","1","A1",""
"3411211","341121","","1","",""
"3411212","341121","","1","",""
"3411213","341121","","2","",""
"341122","34112","1","1","A1",""
"3411221","341122","","1","",""
"34113","3411","1","1","",""
"341131","34113","","1","",""
"341132","34113","","1","",""
"34114","3411","1","1","",""
"34115","3411","2","1","",""
"341151","34115","1","2","",""
"341152","34115","","2","",""
"341153","34115","","2","",""
"3411531","341153","","1","",""
"3412","341","1","1","",""
"34121","3412","1","1","",""
"341211","34121","0","1","",""
"341212","34121","1","1","",""
"3412121","341212","","1","",""
"3412122","341212","","1","",""
"3412123","341212","","1","",""
"341213","34121","1","1","",""
"3412131","341213","2","1","",""
"34121311","3412131","","1","",""
"34121312","3412131","","1","",""
"34121313","3412131","","2","",""
"3412132","341213","","2","",""
"34122","3412","1","1","",""
"341221","34122","1","1","",""
"3412211","341221","","1","",""
"3412212","341221","","1","",""
"341222","34122","1","1","",""
"3412221","341222","","1","",""
"341223","34122","","1","",""
"34123","3412","1","1","",""
"341231","34123","","1","",""
"341232","34123","1","1","",""
"341233","34123","","1","",""
"3413","341","2","1","",""
"34131","3413","","1","",""
"34132","3413","2","1","",""
"341321","34132","1","1","",""
"3413211","341321","","1","",""
"3413212","341321","","1","",""
"341322","34132","2","1","",""
"3413221","341322","","1","",""
"3413222","341322","","1","",""
"341323","34132","1","2","",""
"3413231","341323","","1","",""
"34133","3413","2","1","",""
"341331","34133","1","1","",""
"341332","34133","","1","",""
"3414","341","","1","",""
"3415","341","1","1","",""
"34151","3415","1","1","",""
"341511","34151","1","1","",""
"3415111","341511","","1","",""
"341512","34151","1","1","",""
"3415121","341512","","1","",""
"3415122","341512","","1","",""
"34152","3415","1","1","",""
"34153","3415","","1","",""
"34154","3415","1","1","",""
"341541","34154","","1","",""
"341542","34154","","1","",""
"3416","341","1","1","",""
"34161","3416","1","1","",""
"341611","34161","","1","",""
"341612","34161","","1","",""
"34162","3416","1","1","",""
"341621","34162","1","1","",""
"3416211","341621","","1","",""
"3416212","341621","","1","",""
"341622","34162","1","1","",""
"3416221","341622","","1","",""
"3416222","341622","","1","",""
"341623","34162","1","1","",""
"3416231","341623","","1","",""
"3416232","341623","","1","",""
"3416233","341623","","1","",""
"34163","3416","1","1","",""
"341631","34163","","1","",""
"341632","34163","","1","",""
"341633","34163","","1","",""
"3417","341","1","1","",""
"34171","3417","1","1","",""
"341711","34171","1","1","",""
"3417111","341711","","1","",""
"3417112","341711","","1","",""
"34172","3417","","1","",""
"3418","341","2","1","",""
"34181","3418","1","1","",""
"341811","34181","2","1","",""
"3418111","341811","","1","",""
"3418112","341811","","1","",""
"341812","34181","2","1","",""
"3418121","341812","","2","",""
"3418122","341812","","3","",""
"34182","3418","1","1","",""
"341821","34182","","1","",""
"341822","34182","1","1","",""
"34183","3418","1","1","",""
"341831","34183","","1","",""
"341832","34183","","1","",""
"342","34","1","1","",""
"3421","342","1","1","",""
"34211","3421","1","1","",""
"342111","34211","2","1","",""
"3421111","342111","1","1","C2",""
"34211111","3421111","","1","",""
"342112","34211","0","1","",""
"34212","3421","","1","",""
"3422","342","1","1","",""
"34221","3422","2","1","",""
"342211","34221","1","1","",""
"3422111","342211","","1","",""
"3422112","342211","","1","",""
"342212","34221","1","1","",""
"3422121","342212","1","1","",""
"3422122","342212","","1","",""
"34222","3422","1","1","",""
"3423","342","","1","",""
"343","34","1","1","",""
"3431","343","2","1","",""
"34311","3431","1","1","",""
"343111","34311","","1","",""
"343112","34311","","2","",""
"344","34","1","1","",""
"3441","344","","1","",""
"3442","344","1","1","",""
"34421","3442","1","1","",""
"34422","3442","1","1","",""
"3443","344","1","1","",""
"34431","3443","2","1","",""
"344311","34431","1","1","",""
"3443111","344311","","1","",""
"3443112","344311","","1","",""
"344312","34431","1","1","",""
"3443121","344312","","1","",""
"3443122","344312","","1","",""
"34432","3443","1","1","",""
"344321","34432","1","1","",""
"3443211","344321","","1","",""
"344322","34432","","1","",""
"345","34","1","1","",""
"3451","345","1","1","",""
"34511","3451","1","1","",""
"345111","34511","","1","",""
"34512","3451","1","1","",""
"345121","34512","","1","",""
"345122","34512","1","1","",""
"3451221","345122","","1","",""
"3451222","345122","","1","",""
"346","34","1","1","",""
"3461","346","2","1","",""
"34611","3461","1","1","",""
"34612","3461","1","1","",""
"3462","346","2","1","",""
"34621","3462","2","1","",""
"346211","34621","","1","",""
"346212","34621","","1","",""
"35","3","1","2","",""
"351","35","1","1","",""
"3511","351","","1","",""
"352","35","","1","",""
"353","35","1","1","",""
"3531","353","1","1","",""
"35311","3531","1","1","",""
"353111","35311","1","1","",""
"3531111","353111","1","1","",""
"35311111","3531111","","1","",""
"3531112","353111","1","1","",""
"35311121","3531112","","1","",""
"353112","35311","2","1","",""
"3531121","353112","1","1","",""
"35311211","3531121","","1","",""
